Data;IPCA;IPCA-E;INPC;IGPM;INCC;TR;ENCOGE;SELIC
01/03/1986;1,198233878;8,07E-06;1,124761111;0,012051377;2,091344892;1,38E-05;0,9509323;5,6124
01/04/1986;1,143680326;8,07E-06;1,090096057;0,012051377;1,883246188;1,38E-05;0,952006;5,6124
01/05/1986;1,134828663;8,07E-06;1,085428713;0,012051377;1,889481477;1,38E-05;0,9446288;5,6124
01/06/1986;1,119160417;8,07E-06;1,073831335;0,012051377;1,884957579;1,38E-05;0,9315827;5,6124
01/07/1986;1,105125325;8,07E-06;1,063515237;0,012051377;1,862790373;1,38E-05;0,9198945;5,6124
01/08/1986;1,086545399;8,07E-06;1,053924524;0,012051377;1,842887192;1,38E-05;0,9090673;5,6124
01/09/1986;1,049295412;8,07E-06;1,039065882;0,012051377;1,794612125;1,38E-05;0,8940461;5,6124
01/10/1986;1,031552705;8,07E-06;1,026846409;0,012051377;1,726086492;1,38E-05;0,878902;5,6124
01/11/1986;1,012318651;8,07E-06;1,012369525;0,012051377;1,663697823;1,38E-05;0,8624942;5,6124
01/12/1986;0,959998721;8,07E-06;0,980123463;0,012051377;1,581912925;1,38E-05;0,8350185;5,6124
01/01/1987;0,85982868;8,07E-06;0,913697645;0,012051377;1,473740381;1,38E-05;0,7784212;5,6124
01/02/1987;0,759498878;8,07E-06;0,782141452;0,012051377;1,29275472;1,38E-05;0,666354;5,6124
01/03/1987;0,674271021;8,07E-06;0,686450283;0,012051377;0,975958569;1,38E-05;0,5571235;5,6124
01/04/1987;0,579419971;8,07E-06;0,600043954;0,012051377;0,796115971;1,38E-05;0,4865086;5,6124
01/05/1987;0,486498717;8,07E-06;0,496068083;0,012051377;0,702910093;1,38E-05;0,402207;5,6124
01/06/1987;0,400575312;8,07E-06;0,402848858;0,012051377;0,585319421;1,38E-05;0,3258274;5,6124
01/07/1987;0,334621429;8,07E-06;0,332109528;0,012051377;0,484015067;1,38E-05;0,2760763;5,6124
01/08/1987;0,306401821;8,07E-06;0,302110005;0,012051377;0,449327021;1,38E-05;0,2679037;5,6124
01/09/1987;0,292172996;8,07E-06;0,287477405;0,012051377;0,434930812;1,38E-05;0,2518838;5,6124
01/10/1987;0,271082757;8,07E-06;0,268294358;0,012051377;0,404737401;1,38E-05;0,2383435;5,6124
01/11/1987;0,243735621;8,07E-06;0,241968216;0,012051377;0,367642294;1,38E-05;0,2183033;5,6124
01/12/1987;0,211796681;8,07E-06;0,210535296;0,012051377;0,324858438;1,38E-05;0,193463;5,6124
01/01/1988;0,185542428;8,07E-06;0,184728697;0,012051377;0,28526382;1,38E-05;0,1694964;5,6124
01/02/1988;0,156062266;8,07E-06;0,155273344;0,012051377;0,243005213;1,38E-05;0,1454769;5,6124
01/03/1988;0,134885277;8,07E-06;0,134075938;0,012051377;0,209885311;1,38E-05;0,1233261;5,6124
01/04/1988;0,114698365;8,07E-06;0,11353708;0,012051377;0,175695054;1,38E-05;0,1063063;5,6124
01/05/1988;0,096150863;8,07E-06;0,095949531;0,012051377;0,150141047;1,38E-05;0,0891235;5,6124
01/06/1988;0,081886274;8,07E-06;0,081148115;0,012051377;0,12143404;1,38E-05;0,0756695;5,6124
01/07/1988;0,067119897;8,07E-06;0,066362541;0,012051377;0,101026656;1,38E-05;0,0633058;5,6124
01/08/1988;0,055056925;8,07E-06;0,053944514;0,012051377;0,084392829;1,38E-05;0,0510367;5,6124
01/09/1988;0,0452808;8,07E-06;0,044718987;0,012051377;0,069236877;1,38E-05;0,0422979;5,6124
01/10/1988;0,035528286;8,07E-06;0,035231219;0,012051377;0,055230438;1,38E-05;0,0341085;5,6124
01/11/1988;0,028282348;8,07E-06;0,027808998;0,012051377;0,041039113;1,38E-05;0,0268044;5,6124
01/12/1988;0,022105947;8,07E-06;0,02170035;0,012051377;0,03139467;1,38E-05;0,0211191;5,6124
01/01/1989;17,17633769;0,008072252;16,89663594;12,05137734;24,58085656;0,013821997;16,3980676;5,6124
01/02/1989;12,49279052;0,008072252;12,47168286;12,05137734;18,62327188;0,013821997;11,4896774;5,6124
01/03/1989;10,6977141;0,008072252;10,7191086;12,05137734;16,34767546;0,013821997;10,4318843;5,6124
01/04/1989;10,01471082;0,008072252;10,12191558;12,05137734;15,49395835;0,013821997;9,8329835;5,6124
01/05/1989;9,2446329;0,008072252;9,366940204;12,05137734;14,60041307;0,013821997;9,1635002;5,6124
01/06/1989;7,839749745;0,008072252;8,028576501;12,05137734;12,27338019;0,013821997;8,3352091;5,6124
01/07/1989;6,09385911;0,008072252;6,204464066;10,0696669;9,451239942;0,013821997;6,6770247;5,6124
01/08/1989;4,770517544;0,008072252;4,870065986;7,409615083;6,682627407;0,013821997;5,1854103;5,6124
01/09/1989;3,567809097;0,008072252;3,656754757;5,411638244;4,671532616;0,013821997;4,0092863;5,6124
01/10/1989;2,593638483;0,008072252;2,681888344;3,867665983;3,347329189;0,013821997;2,9490633;5,6124
01/11/1989;1,85564748;0,008072252;1,932753203;2,750046916;2,404345057;0,013821997;2,1428862;5,6124
01/12/1989;1,255342633;0,008072252;1,301780294;1,957607429;1,700505734;0,013821997;1,5152588;5,6124
01/01/1990;0,828608999;0,008072252;0,860510506;1,330529076;1,158067103;0,013821997;0,9868179;5,6124
